Symbol,Report Date,EPS Estimate,Reported EPS,EPS Surprise %,Price Reaction %,Volume vs 20d Avg
RELIANCE,2026-07-17,7.1,9.81,38.17,-0.31,1.16
RELIANCE,2026-04-24,15.39,12.54,-18.52,2.86,1.21
RELIANCE,2026-01-16,14.89,13.78,-7.44,-3.04,2.08
RELIANCE,2025-10-17,14.35,13.42,-6.45,3.53,2.21
RELIANCE,2025-07-18,7.6,13.23,74.08,-3.21,2.36
RELIANCE,2025-04-25,6.4,8.29,29.53,5.26,2.34
RELIANCE,2025-01-16,13.39,13.7,2.34,2.83,2.49
RELIANCE,2024-10-14,5.85,5.7,-2.56,-2.08,1.9
RELIANCE,2024-07-19,12.81,11.19,-12.69,-3.5,1.52
RELIANCE,2024-04-22,14.93,14.01,-6.21,-1.39,1.21
RELIANCE,2024-01-19,12.88,12.76,-0.96,-2.84,1.93
RELIANCE,2023-10-27,13.41,12.86,-4.15,2.06,1.66
RELIANCE,2023-07-21,12.65,11.83,-6.46,-2.02,1.27
RELIANCE,2023-04-21,13.38,14.26,6.57,0.38,0.9
RELIANCE,2023-01-20,12.71,11.67,-8.18,-0.51,1.05
RELIANCE,2022-10-21,12.83,10.09,-21.36,0.33,0.29
RELIANCE,2022-07-22,19.64,13.27,-32.43,-3.3,1.08
RELIANCE,2022-05-06,7.85,8.2,4.46,-3.91,1.09
RELIANCE,2022-01-21,12.47,11.76,-5.67,-4.03,1.78
RELIANCE,2021-10-22,7.38,6.95,-5.83,-0.97,1.41
RELIANCE,2021-07-23,5.25,6.53,24.29,-1.37,0.9
RELIANCE,2021-04-30,8.6,5.8,-32.62,-1.78,1.38
RELIANCE,2021-01-22,6.13,6.65,8.57,-5.3,1.96
RELIANCE,2020-10-30,4.35,5.02,15.4,-8.62,3.67
RELIANCE,2020-07-30,4.1,4.16,1.46,-1.98,1.25
RELIANCE,2020-04-30,5.9,5.39,-8.73,-2.1,0.96
RELIANCE,2020-01-17,7.27,7.56,3.94,-3.08,1.71
RELIANCE,2019-10-18,7.48,7.65,2.34,-0.16,1.35
RELIANCE,2019-07-19,6.53,7.13,9.15,2.52,2.23
