Rank,Symbol
1,RELIANCE
2,HDFCBANK
3,BHARTIARTL
4,ICICIBANK
5,SBIN
6,TCS
7,BAJFINANCE
8,LT
9,LICI
10,HINDUNILVR
11,INFY
12,ADANIPOWER
13,SUNPHARMA
14,ADANIPORTS
15,MARUTI
16,ADANIENT
17,AXISBANK
18,TITAN
19,KOTAKBANK
20,ITC
21,NTPC
22,M&M
23,ONGC
24,ULTRACEMCO
25,JSWSTEEL
26,HCLTECH
27,COALINDIA
28,BEL
29,BAJAJ-AUTO
30,HAL
31,BAJAJFINSV
32,DMART
33,NESTLEIND
34,POWERGRID
35,TATASTEEL
36,ASIANPAINT
37,ADANIGREEN
38,HINDALCO
39,HINDZINC
40,ETERNAL
41,SHRIRAMFIN
42,GRASIM
43,WIPRO
44,EICHERMOT
45,IOC
46,ADANIENSOL
47,SBILIFE
48,VBL
49,DIVISLAB
50,INDIGO
51,SOLARINDS
52,POWERINDIA
53,IDEA
54,TVSMOTOR
55,ICICIAMC
56,CUMMINSIND
57,BSE
58,JIOFIN
59,HYUNDAI
60,ABB
61,MOTHERSON
62,PIDILITIND
63,TORNTPHARM
64,TRENT
65,CGPOWER
66,TMPV
67,POLYCAB
68,DLF
69,PFC
70,BANKBARODA
71,TMCV
72,BHEL
73,TATACAP
74,SIEMENS
75,TECHM
76,TATAPOWER
77,ENRIN
78,GET&D
79,GVT&D
80,CHOLAFIN
81,BPCL
82,UNIONBANK
83,MUTHOOTFIN
84,IRFC
85,HDFCLIFE
86,BRITANNIA
87,VEDL
88,CANBK
89,GROWW
90,PNB
91,JINDALSTEL
92,LTM
93,APOLLOHOSP
94,BAJAJHLDNG
95,INDIANB
96,INDUSTOWER
97,CIPLA
98,TATACONSUM
99,GAIL
100,BOSCHLTD
101,ZYDUSLIFE
102,GMRAIRPORT
103,JSWENERGY
104,HDFCAMC
105,DRREDDY
106,MARICO
107,AMBUJACEM
108,LUPIN
109,GODREJCP
110,LGEINDIA
111,LLOYDSME
112,MAZDOCK
113,HEROMOTOCO
114,MANKIND
115,MAXHEALTH
116,ABCAPITAL
117,INDHOTEL
118,BHARATFORG
119,RECLTD
120,LODHA
121,UNITDSPR
122,LENSKART
123,WAAREEENER
124,ICICIGI
125,SHREECEM
126,OFSS
127,ASHOKLEY
128,NTPCGREEN
129,AUROPHARMA
130,ATGL
131,HINDPETRO
132,NMDC
133,SRF
134,SAIL
135,OIL
136,IDBI
137,LAURUSLABS
138,MEESHO
139,SUZLON
140,NHPC
141,DABUR
142,PERSISTENT
143,NYKAA
144,FEDERALBNK
145,BHARTIHEXA
146,TORNTPOWER
147,FORTIS
148,YESBANK
149,NATIONALUM
150,AUBANK
151,HAVELLS
152,MCX
153,NAM-INDIA
154,POLICYBZR
155,INDUSINDBK
156,BAJAJHFL
157,ICICIPRULI
158,DIXON
159,GICRE
160,PAYTM
161,LTF
162,BIOCON
163,SWIGGY
164,BANKINDIA
165,NAUKRI
166,IOB
167,SCHAEFFLER
168,UNOMINDA
169,ALKEM
170,PHOENIXLTD
171,IDFCFIRSTB
172,COFORGE
173,GLENMARK
174,MAHABANK
175,TIINDIA
176,LINDEINDIA
177,PRESTIGE
178,OBEROIRLTY
179,JSWINFRA
180,BERGEPAINT
181,JSL
182,TATACOMM
183,SBICARD
184,FACT
185,APARINDS
186,VMM
187,ABBOTINDIA
188,MFSL
189,THERMAX
190,COLPAL
191,UPL
192,UPLPP1
193,HDBFS
194,COROMANDEL
195,MRF
196,KRT
197,MOTILALOFS
198,GODREJPROP
199,KEI
200,HINDCOPPER
201,APLAPOLLO
202,RVNL
203,PREMIERENE
204,RADICO
205,NLCINDIA
206,SUPREMEIND
207,PATANJALI
208,SUNDARMFIN
209,PIRAMALFIN
210,MPHASIS
211,BDL
212,360ONE
213,AIAENG
214,VOLTAS
215,PAGEIND
216,ANTHEM
217,IRCTC
218,IPCALAB
219,BALKRISIND
220,CPPLUS
221,PIIND
222,HUDCO
223,ASTRAL
224,EMBASSY
225,PETRONET
226,M&MFIN
227,NH
228,ATHERENERG
229,AIIL
230,FLUOROCHEM
231,ASTERDM
232,KALYANKJIL
233,JKCEMENT
234,COCHINSHIP
235,SONACOMS
236,GLAND
237,AJANTPHARM
238,KPRMILL
239,GLAXO
240,WELCORP
241,3MINDIA
242,NAVINFLUOR
243,ENDURANCE
244,BAGMANE
245,GODREJIND
246,UBL
247,JBCHEPHARM
248,IREDA
249,HSCL
250,GODFRYPHLP
251,CONCOR
252,POONAWALLA
253,LTTS
254,EXIDEIND
255,TATAINVEST
256,MEDANTA
257,DELHIVERY
258,EMCURE
259,BANDHANBNK
260,BLUESTARCO
261,HEXT
262,ITCHOTELS
263,UCOBANK
264,DALBHARAT
265,KIMS
266,TATATECH
267,WOCKPHARMA
268,ESCORTS
269,STARHEALTH
270,HONAUT
271,GRSE
272,MINDSPACE
273,PGHH
274,ANGELONE
275,ABSLAMC
276,LICHSGFIN
277,STLTECH
278,PWL
279,ANANDRATHI
280,ITI
281,SJVN
282,MANAPPURAM
283,NBCC
284,NUVAMA
285,HFCL
286,IKS
287,CRISIL
288,GODIGIT
289,SCHNEIDER
290,JUBLFOOD
291,SHYAMMETL
292,METROBRAND
293,KIRLOSENG
294,PTCIL
295,GUJGASLTD
296,TVSHLTD
297,AMBER
298,CENTRALBK
299,TIMKEN
300,ZFCVINDIA
301,ACUTAAS
302,CHOLAHLDNG
303,MRPL
304,AEGISLOG
305,KARURVYSYA
306,TATAELXSI
307,NETWEB
308,BIRET
309,PNBHOUSING
310,LALPATHLAB
311,MSUMI
312,IRB
313,CDSL
314,GILLETTE
315,APOLLOTYRE
316,SAILIFE
317,RRKABEL
318,ACC
319,NIACL
320,KIOCL
321,AWL
322,FORCEMOT
323,TENNIND
324,CESC
325,SYRMA
326,DATAPATTNS
327,SUMICHEM
328,NXST
329,MTARTECH
330,EMMVEE
331,IGL
332,ASAHIINDIA
333,DEEPAKNTR
334,PPLPHARMA
335,KPIL
336,HBLENGINE
337,IIFL
338,TRITURBINE
339,RBLBANK
340,GRINDWELL
341,CRAFTSMAN
342,ACMESOLAR
343,NEULANDLAB
344,ASTRAZEN
345,IFCI
346,KPITTECH
347,SAMMAANCAP
348,AEGISVOPAK
349,KAYNES
350,GMDCLTD
351,GESHIP
352,RAMCOCEM
353,AFFLE
354,ONESOURCE
355,ANANTRAJ
356,TDPOWERSYS
357,AADHARHFC
358,PFIZER
359,SUNTV
360,CREDITACC
361,HATSUN
362,BBOX
363,RUBICON
364,CARBORUNIV
365,OLAELEC
366,ATUL
367,GRANULES
368,BAYERCROP
369,CGCL
370,BHARATCOAL
371,URBANCO
372,ELGIEQUIP
373,SARDAEN
374,BELRISE
375,CEMPRO
376,ERIS
377,CAMS
378,GPIL
379,CHAMBLFERT
380,SAGILITY
381,REDINGTON
382,PFOCUS
383,FSL
384,CUPID
385,SANSERA
386,RATNAMANI
387,TATACHEM
388,VTL
389,EIHOTEL
390,CUB
391,CASTROLIND
392,DEEPAKFERT
393,SUNDRMFAST
394,CHENNPETRO
395,JSWCEMENT
396,KAJARIACER
397,SYNGENE
398,FRACTAL
399,CIEINDIA
400,CROMPTON
401,KANSAINER
402,CHALET
403,CENTURYPLY
404,CMPDI
405,NAVA
406,TRAVELFOOD
407,EMAMILTD
408,PSB
409,LMW
410,THANGAMAYL
